Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	RunningTime	-1	Rank	-1	Lap	0	Points	0.00
Layout	RankOrientedMeet	MeetName	ПЕРВЕНСТВО ПЕНЗЕНСКОЙ ОБЛАСТИ ПО ПЛАВАНИЮ СРЕДИ ЮНОШЕЙ И ДЕВУШЕК
Meet	City	Пенза
Time	3	LaneTime	-1	Rank	-1	Lap	0	Points	0.00
Time	4	LaneTime	-1	Rank	-1	Lap	0	Points	0.00
Time	5	LaneTime	-1	Rank	-1	Lap	0	Points	0.00
Time	6	LaneTime	-1	Rank	-1	Lap	0	Points	0.00
Time	7	LaneTime	-1	Rank	-1	Lap	0	Points	0.00
Time	8	LaneTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Competitor	1	FirstName	
Competitor	1	LastName	
Competitor	1	Code	
Competitor	1	Birthday	124455966
Competitor	1	Gender	
Competitor	1	Nation	
Competitor	1	TeamName	
Competitor	1	Class	
Competitor	1	ClubName	
Competitor	1	RelayName	
Competitor	1	HorseName	
Competitor	1	Sponsor	
Competitor	2	FirstName	Дарья
Competitor	2	LastName	Безбокова
Competitor	2	Code	2
Competitor	2	Birthday	131531785
Competitor	2	Gender	F
Competitor	2	Nation	RUS
Competitor	2	TeamName	
Competitor	2	Class	
Competitor	2	ClubName	ПО СШввс
Competitor	2	RelayName	
Competitor	2	HorseName	
Competitor	2	Sponsor	
Competitor	3	FirstName	Алина
Competitor	3	LastName	Фам
Competitor	3	Code	2
Competitor	3	Birthday	131533597
Competitor	3	Gender	F
Competitor	3	Nation	RUS
Competitor	3	TeamName	
Competitor	3	Class	
Competitor	3	ClubName	ПО СШОРввс
Competitor	3	RelayName	
Competitor	3	HorseName	
Competitor	3	Sponsor	
Competitor	4	FirstName	Анастасия
Competitor	4	LastName	Ордина
Competitor	4	Code	кмс
Competitor	4	Birthday	131532803
Competitor	4	Gender	F
Competitor	4	Nation	RUS
Competitor	4	TeamName	
Competitor	4	Class	
Competitor	4	ClubName	ПО СШОРввс
Competitor	4	RelayName	
Competitor	4	HorseName	
Competitor	4	Sponsor	
Competitor	5	FirstName	Валерия
Competitor	5	LastName	Старостина
Competitor	5	Code	1
Competitor	5	Birthday	131468061
Competitor	5	Gender	F
Competitor	5	Nation	RUS
Competitor	5	TeamName	
Competitor	5	Class	
Competitor	5	ClubName	ПО СШОРввс
Competitor	5	RelayName	
Competitor	5	HorseName	
Competitor	5	Sponsor	
Competitor	6	FirstName	Ксения
Competitor	6	LastName	Веселова
Competitor	6	Code	2
Competitor	6	Birthday	131465491
Competitor	6	Gender	F
Competitor	6	Nation	RUS
Competitor	6	TeamName	
Competitor	6	Class	
Competitor	6	ClubName	Мокшанский р-н ДЮСШ
Competitor	6	RelayName	
Competitor	6	HorseName	
Competitor	6	Sponsor	
Competitor	7	FirstName	
Competitor	7	LastName	
Competitor	7	Code	
Competitor	7	Birthday	124455966
Competitor	7	Gender	
Competitor	7	Nation	
Competitor	7	TeamName	
Competitor	7	Class	
Competitor	7	ClubName	
Competitor	7	RelayName	
Competitor	7	HorseName	
Competitor	7	Sponsor	
Competitor	8	FirstName	
Competitor	8	LastName	
Competitor	8	Code	
Competitor	8	Birthday	124455966
Competitor	8	Gender	
Competitor	8	Nation	
Competitor	8	TeamName	
Competitor	8	Class	
Competitor	8	ClubName	
Competitor	8	RelayName	
Competitor	8	HorseName	
Competitor	8	Sponsor	
Time	1	LaneTime	-1	Rank	-1	Lap	0	Points	0.00
Time	2	LaneTime	-1	Rank	-1	Lap	0	Points	0.00
Time	3	LaneTime	-1	Rank	-1	Lap	0	Points	0.00
Time	4	LaneTime	-1	Rank	-1	Lap	0	Points	0.00
Time	5	LaneTime	-1	Rank	-1	Lap	0	Points	0.00
Time	6	LaneTime	-1	Rank	-1	Lap	0	Points	0.00
Time	7	LaneTime	-1	Rank	-1	Lap	0	Points	0.00
Time	8	LaneTime	-1	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
Time	1	Ready	0	Rank	-1	Lap	0	Points	0.00
